Novo,Tipo,TipoAnuncio,Rua,Metragem,Comodos,Aluguel,Total,Bairro,Cidade,Lat,Long
0,Casa em Condomínio,Nenhum,Rua Pedro Gusso,62,2,2040,2445,Capão Raso,Curitiba,-25.4966487,-49.296573
0,Studio e kitnet,Nenhum,Rua Jaboticabas,20,1,512,531,Uberaba,Curitiba,-25.4834105,-49.2152949
0,Apartamento,Exclusivo,Rua Luiz Barreto Murat,38,1,1097,1210,Bairro Alto,Curitiba,-25.4127337,-49.2126508
0,Apartamento,Exclusivo,Rua Pastor Júlio de Oliveira Roza,41,1,650,727,Cajuru,Curitiba,0.0,0.0
0,Apartamento,Nenhum,Rua das Carmelitas,40,1,680,1037,Boqueirão,Curitiba,-25.4989093,-49.2319478
0,Casa,Exclusivo,Rua Desembargador Ernâni Almeida de Abreu,25,1,663,731,Tatuquara,Curitiba,-25.5589863,-49.3397146
0,Casa,Exclusivo,Rua Ivo Pereira de Carvalho,220,3,2800,3081,Uberaba,Curitiba,-25.4762423,-49.222647
0,Apartamento,Nenhum,Rua Paschoal Bordignon,89,3,1923,2468,Jardim Botânico,Curitiba,-25.4444248,-49.2464395
0,Apartamento,Nenhum,Rua Paschoal Bordignon,89,3,1923,2468,Jardim Botânico,Curitiba,-25.4444248,-49.2464395
0,Casa,Exclusivo,Rua Antônio Jonque Filho,300,5,4880,5495,Uberaba,Curitiba,-25.4857293,-49.2300103
0,Apartamento,Originals,Rua Brigadeiro Franco,68,2,2600,3235,Centro,Curitiba,-25.4384854,-49.2778795
0,Apartamento,Nenhum,Rua Salustiano Cordeiro,107,3,2174,2860,Água Verde,Curitiba,-25.4548406,-49.2842938
0,Apartamento,Nenhum,Rua Urbano Lopes,150,3,12000,13760,Cristo Rei,Curitiba,-25.4416562,-49.2350444
0,Apartamento,Nenhum,Rua Izaac Ferreira da Cruz,51,2,1130,1469,Sítio Cercado,Curitiba,-25.5330147,-49.2634571
0,Casa,Exclusivo,Rua Antônio de Oliveira Santos,90,3,1360,1415,Cidade Industrial de Curitiba,Curitiba,-25.5101811,-49.3256319
0,Casa em Condomínio,Nenhum,Alameda das Hortênsias,450,4,10000,11784,Mossunguê,Curitiba,0.0,0.0
0,Studio e kitnet,Exclusivo,Rua Mamoré,27,1,1020,1057,Mercês,Curitiba,-25.4172142,-49.2862472
0,Studio e kitnet,Originals,Rua Augusto de Mari,28,1,1600,1941,Portão,Curitiba,-25.4754507,-49.2929217
0,Apartamento,Originals,Rua Alípia Marques Verchai,90,3,1500,2333,Portão,Curitiba,-25.4755928,-49.2908371
0,Studio e kitnet,Exclusivo,Rua Mamoré,25,1,1020,1057,Mercês,Curitiba,-25.4172142,-49.2862472
0,Casa,Exclusivo,Rua Desembargador Ernâni Almeida de Abreu,50,1,671,748,Tatuquara,Curitiba,-25.5589863,-49.3397146
0,Apartamento,Nenhum,Rua Guido Scotti,90,3,2800,3206,Tingui,Curitiba,-25.384771,-49.2191114
0,Apartamento,Exclusivo,Rua Ângelo Tozim,48,2,935,1412,Campo de Santana,Curitiba,-25.5824023,-49.331801
0,Apartamento,Exclusivo,Rua Vereador Adeodato Volpi,70,2,1177,1628,Novo Mundo,Curitiba,0.0,0.0
0,Studio e kitnet,Exclusivo,Estrada da Mina do Ouro,20,1,552,1272,Santo Inácio,Curitiba,-25.4257434,-49.338661
0,Casa em Condomínio,Exclusivo,Rua Jaziel Sotto Maior Lagos,166,3,3800,4624,Campo Comprido,Curitiba,0.0,0.0
0,Apartamento,Nenhum,Estrada Guilherme Weigert,64,3,1360,1726,Santa Cândida,Curitiba,-25.3564984,-49.2368355
0,Casa,Nenhum,Rua Desembargador Ernâni Guaritá Cartaxo,350,5,4500,4914,Capão Raso,Curitiba,-25.5068515,-49.3009771
0,Studio e kitnet,Exclusivo,Rua Pastor Antônio Cardona de Aguiar,25,1,900,932,Novo Mundo,Curitiba,0.0,0.0
0,Studio e kitnet,Exclusivo,Rua Pastor Antônio Cardona de Aguiar,25,1,900,932,Novo Mundo,Curitiba,0.0,0.0
0,Apartamento,Nenhum,Rua Satyrio Ferreira da Costa,44,2,1020,1455,Alto Boqueirão,Curitiba,-25.5331249,-49.2411177
0,Studio e kitnet,Nenhum,Rua das Carmelitas,40,1,552,905,Boqueirão,Curitiba,-25.4989093,-49.2319478
0,Studio e kitnet,Exclusivo,Rua Pastor Antônio Cardona de Aguiar,25,1,860,891,Novo Mundo,Curitiba,0.0,0.0
0,Casa em Condomínio,Nenhum,Rua Orlando Peruci,372,4,10700,12297,Butiatuvinha,Curitiba,-25.3866821,-49.3519592
0,Studio e kitnet,Originals,Rua Sete de Abril,34,1,1600,2058,Alto da Rua XV,Curitiba,-25.4238979,-49.2558088
0,Casa,Exclusivo,Rua Isac de Oliveira,38,1,910,1027,Uberaba,Curitiba,-25.477906,-49.2373663
0,Apartamento,Exclusivo,Rua Miguel Caluf,70,3,1550,1606,Cajuru,Curitiba,-25.4642399,-49.2154386
0,Apartamento,Exclusivo,Rua Fernando de Noronha,69,3,1260,1695,Boa vista,Curitiba,-25.3780654,-49.242367
0,Studio e kitnet,Exclusivo,Rua Doutor Pedrosa,37,1,1300,2895,Centro,Curitiba,-25.4377079,-49.2758775
0,Casa,Nenhum,Avenida Nossa Senhora da Luz,270,5,12120,19055,Jardim Social,Curitiba,-25.4199973,-49.2396906
0,Casa em Condomínio,Nenhum,Rua Tenente-coronel Servando de Loyola E Silva,125,3,5500,6137,Barreirinha,Curitiba,-25.3654303,-49.2645686
0,Apartamento,Originals,Rua Doutor Pedrosa,34,1,2000,2961,Centro,Curitiba,-25.4377079,-49.2758775
0,Apartamento,Exclusivo,Rua João Koleski,30,1,1200,1528,Cidade Industrial,Curitiba,-25.4392812,-49.3513049
0,Casa,Exclusivo,Rua Frederico Lampe,120,1,2040,2276,Xaxim,Curitiba,-25.5025129,-49.2629022
0,Studio e kitnet,Nenhum,Rua Xxv de Dezembro,23,1,637,661,Cidade Industrial,Curitiba,-25.4932496,-49.3477964
0,Apartamento,Nenhum,Alameda Dom Pedro Ii,160,2,7270,9016,Batel,Curitiba,-25.4382558,-49.2840554
0,Casa,Exclusivo,Avenida Nossa Senhora de Lourdes,204,4,15000,15737,Jardim das Américas,Curitiba,-25.458039,-49.2248557
0,Apartamento,Exclusivo,Rua Francisco Raitani,64,3,2184,2782,Pinheirinho,Curitiba,0.0,0.0
0,Apartamento,Exclusivo,Rua Padre Germano Mayer,25,1,1050,1384,Hugo Lange,Curitiba,-25.4189892,-49.2481074
1,Apartamento,Exclusivo,Rua José de Alencar,73,2,1500,1961,Alto da Rua XV,Curitiba,-25.4322274,-49.2542633
1,Apartamento,Originals,Rua Arion Niepce da Silva,75,2,1962,2596,Portão,Curitiba,-25.4696778,-49.2918176
0,Apartamento,Nenhum,Rua Xxv de Dezembro,25,1,603,625,Cidade Industrial,Curitiba,-25.4932496,-49.3477964
0,Apartamento,Exclusivo,Rua Joaquim Augusto de Andrade,140,2,2920,3651,Jardim das Américas,Curitiba,-25.4559099,-49.2397691
0,Apartamento,Nenhum,Rua Pedro Gusso,60,2,1105,1495,Cidade Industrial de Curitiba,Curitiba,-25.4980777,-49.308256
0,Apartamento,Exclusivo,Rua Helena Andretta de Oliveira,70,3,1470,1847,Uberaba,Curitiba,-25.4860239,-49.2205157
0,Apartamento,Exclusivo,Praça General Osório,60,2,1530,2110,Centro,Curitiba,-25.433039649999998,-49.27594792083579
0,Casa,Nenhum,Rua da Trindade,200,2,2480,2722,Cajuru,Curitiba,-25.4549734,-49.2024927
0,Apartamento,Exclusivo,Rua Nova Aurora,42,2,1011,1298,Sítio Cercado,Curitiba,-25.548734,-49.2700484
1,Apartamento,Nenhum,Rua Joaquim Augusto de Andrade,85,3,2200,2780,Jardim das Américas,Curitiba,-25.4559099,-49.2397691
0,Studio e kitnet,Exclusivo,Rua Wellington de Oliveira Vianna,47,1,1200,1780,Centro Cívico,Curitiba,-25.4088758,-49.2708284
1,Apartamento,Nenhum,Avenida Marechal Humberto de Alencar Castelo Branco,65,3,1800,2198,Cristo Rei,Curitiba,-25.4342741,-49.2367906
0,Apartamento,Nenhum,Avenida Sete de Setembro,32,1,850,1271,Rebouças,Curitiba,-25.4401194,-49.2729475
0,Apartamento,Nenhum,Rua da Paz,40,1,1088,1585,Centro,Curitiba,-25.4305108,-49.2582699
0,Apartamento,Exclusivo,Rua Mariano Torres,32,1,1105,1565,Centro,Curitiba,-25.4338681,-49.261074
0,Apartamento,Exclusivo,Avenida Presidente Wenceslau Braz,30,1,950,1305,Fanny,Curitiba,-25.4715282,-49.2595189
0,Casa em Condomínio,Nenhum,Rua Joaquim Telêmaco Carneiro,35,1,870,1048,Santa Cândida,Curitiba,-25.3808865,-49.2339108
0,Casa em Condomínio,Nenhum,Rua Simão Brante,170,2,2620,2921,Uberaba,Curitiba,-25.487123,-49.2274201
0,Apartamento,Nenhum,Estrada Guilherme Weigert,50,2,1402,1752,Santa Cândida,Curitiba,-25.3564984,-49.2368355
0,Studio e kitnet,Originals,Rua Doutor Reynaldo Machado,20,1,1749,2002,Prado Velho,Curitiba,-25.4514065,-49.2563949
0,Apartamento,Exclusivo,Rua Hugo Zen,10,2,500,1019,São Domingos,Curitiba,0.0,0.0
0,Apartamento,Nenhum,Rua Expedicionário Claudio Joay,42,2,840,870,Sítio Cercado,Curitiba,-25.55601,-49.2513831
0,Apartamento,Nenhum,Rua Thereza Lopes Skroski,48,2,833,1130,Santa Cândida,Curitiba,-25.3511016,-49.2343564
0,Apartamento,Exclusivo,Rua Francisco Timóteo de Simas,62,3,2800,3211,Uberaba,Curitiba,-25.4804625,-49.2276138
0,Apartamento,Exclusivo,Rua Engenheiro Costa Barros,70,2,1123,1221,Cajuru,Curitiba,-25.448981,-49.2161945
1,Apartamento,Nenhum,Rua Amintas de Barros,60,2,1400,2041,Centro,Curitiba,-25.4258561,-49.2606081
0,Studio e kitnet,Originals,Rua Padre Giácomo Cusmano,38,1,1570,2090,Campina do Siqueira,Curitiba,-25.4370317,-49.3068764
0,Casa,Nenhum,Rua Felipe Morlotti,102,3,2398,2535,Santa Cândida,Curitiba,-25.3660684,-49.2076404
0,Studio e kitnet,Nenhum,Rua Aristides Borsato,33,1,779,959,Fazendinha,Curitiba,-25.480518,-49.3152033
0,Apartamento,Nenhum,Rua João Koleski,31,1,1300,1652,Cidade Industrial,Curitiba,-25.4392812,-49.3513049
0,Apartamento,Exclusivo,Rua Olívio Domingos Leonardi,49,2,700,1085,Sítio Cercado,Curitiba,-25.5463474,-49.2685492
0,Apartamento,Nenhum,Avenida Presidente Affonso Camargo,100,3,1340,2150,Cristo Rei,Curitiba,-25.4394958,-49.2374529
0,Apartamento,Nenhum,Rua São João,70,3,2000,2373,Tingui,Curitiba,-25.3776652,-49.2207746
0,Apartamento,Nenhum,Rua São João,70,3,1870,2238,Tingui,Curitiba,-25.3776652,-49.2207746
1,Apartamento,Nenhum,Rua Padre Agostinho,98,2,3000,3764,Bigorrilho,Curitiba,-25.4333504,-49.303774
0,Casa,Nenhum,Rua Cambira,38,1,750,1306,Xaxim,Curitiba,-25.5279583,-49.2594036
0,Casa,Nenhum,Rua Augusto Pinto Borba,20,1,500,591,Cajuru,Curitiba,-25.466999,-49.1933071
1,Apartamento,Exclusivo,Estrada Guilherme Weigert,53,3,1000,1351,Santa Cândida,Curitiba,-25.3564984,-49.2368355
0,Studio e kitnet,Exclusivo,Rua Adão Sobocinski,29,1,1140,1467,Cristo Rei,Curitiba,-25.4367529,-49.2370395
