Novo,Tipo,TipoAnuncio,Rua,Metragem,Comodos,Aluguel,Total,Bairro,Cidade,Lat,Long,TicketM.Bairro,Std.Bairro,TicketM.Comodos,Std.Comodos,TicketM.Tipo,Std.Tipo,ZScore.Bairro,ZScore.Comodos,ZScore.Tipo,Zscore,PredictOfModel,%PriceOfCityModel,PredictOfModelByRegion,%PriceOfRegioModel
1,Apartamento,Nenhum,Rua Emílio Cornelsen,131,3,3700,4964,Ahu,Curitiba,-25.4075062,-49.2595902,4964.0,,3157.162162162162,2268.8736873082294,2224.125,1789.167544386054,,0.7963589370113651,1.5313686013347496,,3970.5253701482347,125.02123868345099,1518.5810216356945,326.88410623314485
1,Apartamento,Exclusivo,Rua Doutor Luiz Losso Filho,108,3,1950,2130,Novo Mundo,Curitiba,-25.4935516,-49.3111262,1929.0555555555557,1650.3457203665012,3157.162162162162,2268.8736873082294,2224.125,1789.167544386054,0.12175899992628182,-0.45271897149143536,-0.05260826482983103,-0.1278560787983282,3250.7637434560083,65.52306375041323,1530.1791004578508,139.19939171582428
1,Apartamento,Exclusivo,Rua Iapó,55,1,1303,1500,Rebouças,Curitiba,-25.4424383,-49.2568696,1897.2,1383.5178832719632,1643.8702290076335,1858.1809276690537,2224.125,1789.167544386054,-0.28709422899589726,-0.07742530711910155,-0.40472732823268415,-0.25641562144922764,1454.9748230856776,103.09456742480492,750.3326151360086,199.91134194907727
1,Apartamento,Nenhum,Rua Padre Manuel da Nóbrega,40,2,1870,2280,Fanny,Curitiba,-25.482516,-49.2733532,1792.5,689.4291116568838,1968.030612244898,1272.6401768260293,2224.125,1789.167544386054,0.7071067811865476,0.24513557990378324,0.03122960740894352,0.3278239894997581,1675.6868685241016,136.06360727814027,1161.182826106473,196.35150888727827
1,Studio e kitnet,Originals,Rua Schiller,35,1,1900,2263,Cristo Rei,Curitiba,-25.4356181,-49.2511039,3962.125,4173.567861725573,1643.8702290076335,1858.1809276690537,1865.0,2651.1595261947805,-0.40711569963486643,0.333191328020473,0.15012299187112702,0.025399540085577866,2912.550966754027,77.69821115000309,760.4179010683185,297.59951689994267
1,Studio e kitnet,Exclusivo,Rua Nunes Machado,25,1,2000,2461,Centro,Curitiba,-25.438058,-49.2751876,2668.6176470588234,3457.8088701820184,1643.8702290076335,1858.1809276690537,1865.0,2651.1595261947805,-0.060043124086235126,0.439747152080284,0.22480729435977814,0.20150377411794232,1399.3269261830276,175.87026690845718,765.4605440344735,321.50579401897505
1,Apartamento,Exclusivo,Avenida Pero Vaz de Caminha,42,2,750,1115,Tatuquara,Curitiba,-25.5657466,-49.3301431,962.3333333333334,295.46956978116486,1968.030612244898,1272.6401768260293,2224.125,1789.167544386054,0.5166916741366528,-0.6702842074123108,-0.6199112003122055,-0.25783457786262115,1497.3764206841884,74.46357406179328,1160.1742975132418,96.10624906877614
1,Apartamento,Exclusivo,Rua Voluntários da Pátria,150,3,3100,4070,Centro,Curitiba,-25.4309418,-49.2767381,2668.6176470588234,3457.8088701820184,3157.162162162162,2268.8736873082294,2224.125,1789.167544386054,0.4052804552113397,0.4023308317885339,1.0316948827916532,0.6131020565971755,4160.401723927895,97.82709147032693,1509.0,269.715043074884
1,Casa,Exclusivo,Rua Alberto Ferreira,152,3,2500,2602,Cidade Industrial de Curitiba,Curitiba,-25.5007425,-49.3456641,1585.857142857143,659.5941753764023,3157.162162162162,2268.8736873082294,3763.2631578947367,4000.668209929417,1.5405576566272552,-0.24468623584806137,-0.2902672996007396,0.3352013737261514,3659.4878737410095,71.10284525523063,1507.991471406769,172.54739495128953
1,Casa,Exclusivo,Rua Tenente Douglas Acácio Benetolo,127,3,3100,3226,Portão,Curitiba,-25.4694107,-49.2969545,3104.133333333333,2237.008680826974,3157.162162162162,2268.8736873082294,3763.2631578947367,4000.668209929417,0.05447751173751159,0.030340092629619453,-0.134293355435295,-0.01649191702272132,3118.0366948886963,103.4625411974235,1520.5980788221564,212.15336550331796
1,Casa,Nenhum,Rua Ursulina Visinoni,100,3,2289,2382,Cidade Industrial de Curitiba,Curitiba,-25.5101923,-49.3371916,1585.857142857143,659.5941753764023,3157.162162162162,2268.8736873082294,3763.2631578947367,4000.668209929417,1.2070192352570916,-0.341650646529295,-0.345258113248813,0.17337015849299453,2754.8959638762963,86.46424515604537,1534.2132148307749,155.25873307399044
1,Studio e kitnet,Originals,Rua Ubaldino do Amaral,39,1,2250,2985,Centro,Curitiba,-25.4274542,-49.2586979,2668.6176470588234,3457.8088701820184,1643.8702290076335,1858.1809276690537,1865.0,2651.1595261947805,0.09149792970613853,0.7217433733294807,0.422456660541865,0.4118993211924948,2999.183155370397,99.52709939221283,758.4008438818565,393.5913341975398
1,Apartamento,Nenhum,Rodovia Br-116,57,2,1600,2031,Bairro Alto,Curitiba,-26.0794,-49.7686274,1338.7142857142858,536.7180247534436,1968.030612244898,1272.6401768260293,2224.125,1789.167544386054,1.2898499442118325,0.049479333516051556,-0.10794126050742224,0.4104626724068206,2043.8736701436744,99.37013376454087,1152.6103330640094,176.2087274196951
