C0,C1,C2,C3,C4,C5,C6,C7,C8
Anúncio novo,Apartamento,              Exclusivo,Rua Iapó,"Prado Velho, Curitiba",            55 m²,            1 dorms,Aluguel: R$ 1.200,Total: R$ 1.429
Anúncio novo,Apartamento,vazio,Avenida Visconde de Guarapuava,"Centro, Curitiba",            39 m²,            1 dorms,Aluguel: R$ 980,Total: R$ 1.346
vazio,Apartamento,              Originals,Rua Visconde do Serro Frio,"Novo Mundo, Curitiba",            67 m²,            2 dorms,Aluguel: R$ 1.800,Total: R$ 2.349
vazio,Studio e kitnet,              Originals,Rua Pedro Ivo,"Centro, Curitiba",            28 m²,            1 dorms,Aluguel: R$ 1.090,Total: R$ 1.369
Anúncio novo,Apartamento,              Exclusivo,Rua Frederico Müller,"Campo Comprido , Curitiba",            52 m²,            2 dorms,Aluguel: R$ 1.289,Total: R$ 1.678
vazio,Studio e kitnet,              Exclusivo,Rua Doutor Faivre,"Centro, Curitiba",            24 m²,            1 dorms,Aluguel: R$ 999,Total: R$ 1.312
vazio,Apartamento,vazio,Rua Theodoro Makiolka,"Santa Cândida, Curitiba",            40 m²,            2 dorms,Aluguel: R$ 996,Total: R$ 1.364
vazio,Apartamento,vazio,Rua Mauá,"Alto da Glória , Curitiba",            60 m²,            3 dorms,Aluguel: R$ 2.250,Total: R$ 2.987
vazio,Apartamento,vazio,Avenida Sete de Setembro,"Rebouças , Curitiba",            34 m²,            1 dorms,Aluguel: R$ 784,Total: R$ 1.135
Anúncio novo,Casa em Condomínio,              Exclusivo,Rua Luiz Parigot de Souza,"Portão , Curitiba",            145 m²,            4 dorms,Aluguel: R$ 2.490,Total: R$ 2.750
vazio,Casa,vazio,Rua Sesinando Chaves,"Cajuru, Curitiba",            300 m²,            4 dorms,Aluguel: R$ 2.625,Total: R$ 2.776
vazio,Apartamento,vazio,Rua Professora Georgina Mongruel,"Santa Cândida, Curitiba",            60 m²,            2 dorms,Aluguel: R$ 1.360,Total: R$ 1.639
vazio,Studio e kitnet,              Exclusivo,Rua Pastor Antônio Cardona de Aguiar,"Novo Mundo, Curitiba",            28 m²,            1 dorms,Aluguel: R$ 850,Total: R$ 881
vazio,Apartamento,vazio,Rua Wilsom Gomes Ramos,"Abranches, Curitiba",            42 m²,            2 dorms,Aluguel: R$ 725,Total: R$ 1.098
